cluster,id_dep,departamento,id_region,region,fuente_gps,cluster_urb_rur,lat,lon,alt_gps,alt_dem
1220,68,santander,2,oriental,GAZ,U,7.06192674588,-73.09126925310,82.00000000000,932.00000000000
1221,68,santander,2,oriental,GAZ,U,7.05566370694,-73.08985372860,82.00000000000,932.00000000000
1222,68,santander,2,oriental,GAZ,U,7.05959659254,-73.08646596070,82.00000000000,932.00000000000
1232,68,santander,2,oriental,GAZ,U,7.07599156553,-73.07378532350,84.00000000000,932.00000000000
883,23,cordoba,1,atlantica,GAZ,U,8.59079626632,-75.95402564510,956.00000000000,109.00000000000
893,23,cordoba,1,atlantica,GAZ,U,8.57877621621,-75.95810397490,953.00000000000,109.00000000000
931,23,cordoba,1,atlantica,GAZ,U,8.70024458650,-75.68924060730,947.00000000000,106.00000000000
890,23,cordoba,1,atlantica,GAZ,U,8.57665597889,-75.96478407460,946.00000000000,109.00000000000
892,23,cordoba,1,atlantica,GAZ,U,8.58783871465,-75.95460107180,945.00000000000,109.00000000000
1230,68,santander,2,oriental,GAZ,U,7.05142444154,-73.08990673250,97.00000000000,932.00000000000
895,23,cordoba,1,atlantica,GAZ,U,8.58254632962,-75.96090732560,943.00000000000,109.00000000000
2147,17,caldas,3,central,GPS,U,5.06826800791,-75.51242009560,2960.00000000000,2127.00000000000
1229,68,santander,2,oriental,GAZ,U,7.05978229108,-73.09858097330,100.00000000000,932.00000000000
888,23,cordoba,1,atlantica,GAZ,U,8.56888600579,-75.96576045360,939.00000000000,109.00000000000
929,23,cordoba,1,atlantica,GAZ,U,8.17491400301,-75.44873732740,873.00000000000,43.00000000000
887,23,cordoba,1,atlantica,GAZ,U,8.58971395886,-75.95130241650,937.00000000000,109.00000000000
885,23,cordoba,1,atlantica,GAZ,U,8.58479366998,-75.95700358070,936.00000000000,109.00000000000
1177,68,santander,2,oriental,GAZ,U,7.13604207800,-73.13520140610,117.00000000000,940.00000000000
891,23,cordoba,1,atlantica,GAZ,U,8.58757388614,-75.95186332530,930.00000000000,109.00000000000
884,23,cordoba,1,atlantica,GAZ,U,8.58797307293,-75.94296952320,928.00000000000,109.00000000000
2221,17,caldas,3,central,GPS,U,5.42037225653,-75.48400673770,970.00000000000,1788.00000000000
886,23,cordoba,1,atlantica,GAZ,U,8.59420915290,-75.95436472870,923.00000000000,109.00000000000
928,23,cordoba,1,atlantica,GAZ,U,8.18508195813,-75.44133796300,857.00000000000,43.00000000000
897,23,cordoba,1,atlantica,GAZ,U,8.58421884486,-75.96057446100,921.00000000000,109.00000000000
1187,68,santander,2,oriental,GAZ,U,7.15230846220,-73.13036782850,128.00000000000,940.00000000000
1182,68,santander,2,oriental,GAZ,U,7.13713665727,-73.13279129480,133.00000000000,940.00000000000
930,23,cordoba,1,atlantica,GAZ,U,8.68274318294,-75.70022546660,910.00000000000,106.00000000000
933,23,cordoba,1,atlantica,GAZ,U,8.70124660326,-75.68053606520,907.00000000000,106.00000000000
2152,17,caldas,3,central,MIS,U,0.00000000000,0.00000000000,9999.00000000000,9999.00000000000
898,23,cordoba,1,atlantica,GAZ,U,8.58408314249,-75.96048235350,908.00000000000,109.00000000000
894,23,cordoba,1,atlantica,GAZ,U,8.57546554603,-75.96558960020,905.00000000000,109.00000000000
926,23,cordoba,1,atlantica,GAZ,U,8.17405058333,-75.44560545070,839.00000000000,43.00000000000
922,23,cordoba,1,atlantica,GAZ,U,7.68218653063,-75.77953007780,1044.00000000000,253.00000000000
932,23,cordoba,1,atlantica,GAZ,U,8.69602008744,-75.69304092210,896.00000000000,106.00000000000
900,23,cordoba,1,atlantica,GAZ,U,8.59844173439,-75.95756105700,897.00000000000,109.00000000000
969,23,cordoba,1,atlantica,GAZ,R,7.68717587345,-75.77841395920,1036.00000000000,253.00000000000
2513,63,quindio,3,central,GPS,U,4.25611329065,-75.70807798300,1347.00000000000,2125.00000000000
968,23,cordoba,1,atlantica,GAZ,R,7.65133109999,-75.79681199580,1030.00000000000,253.00000000000
899,23,cordoba,1,atlantica,GAZ,U,8.57005361090,-75.96613697960,884.00000000000,109.00000000000
967,23,cordoba,1,atlantica,GAZ,R,7.80395384375,-76.18208572640,1117.00000000000,342.00000000000
2690,63,quindio,3,central,GAZ,R,4.60697574706,-75.54942918360,1597.00000000000,2372.00000000000
921,23,cordoba,1,atlantica,GAZ,U,7.68350760779,-75.76684701290,1025.00000000000,253.00000000000
971,23,cordoba,1,atlantica,GAZ,R,7.64951141095,-75.81145062140,1025.00000000000,253.00000000000
923,23,cordoba,1,atlantica,GAZ,U,7.67457150415,-75.79068467290,1024.00000000000,253.00000000000
935,23,cordoba,1,atlantica,GAZ,U,9.01042328682,-75.35953995020,841.00000000000,80.00000000000
970,23,cordoba,1,atlantica,GAZ,R,7.68314087465,-75.77980135240,1011.00000000000,253.00000000000
896,23,cordoba,1,atlantica,GAZ,U,8.58285912998,-75.96111580530,856.00000000000,109.00000000000
915,23,cordoba,1,atlantica,GAZ,U,8.87980909331,-75.82331221420,750.00000000000,10.00000000000
1309,68,santander,2,oriental,GAZ,R,6.20921207650,-73.73640229380,16.00000000000,756.00000000000
1273,68,santander,2,oriental,GAZ,U,6.22449826898,-73.73190859100,21.00000000000,756.00000000000
1272,68,santander,2,oriental,GAZ,U,6.23703542581,-73.71672014260,23.00000000000,756.00000000000
961,23,cordoba,1,atlantica,GAZ,R,8.90044488605,-75.81275353820,740.00000000000,10.00000000000
924,23,cordoba,1,atlantica,GAZ,U,7.68218932394,-75.78278798390,977.00000000000,253.00000000000
960,23,cordoba,1,atlantica,GAZ,R,8.87336468410,-75.86002612050,731.00000000000,10.00000000000
1965,5,antioquia,3,central,GPS,U,6.33502058570,-75.35351053970,1530.00000000000,2237.00000000000
1835,5,antioquia,3,central,GPS,U,6.29178014759,-75.37112207320,1611.00000000000,2316.00000000000
1274,68,santander,2,oriental,GAZ,U,6.22898618738,-73.73112894530,53.00000000000,756.00000000000
966,23,cordoba,1,atlantica,GAZ,R,7.78826950496,-76.18120219310,1043.00000000000,342.00000000000
4794,11,bogota,5,bogota,GPS,U,4.45805401365,-74.16105724070,2571.00000000000,3268.00000000000
1310,68,santander,2,oriental,GAZ,R,6.24073291024,-73.71937995480,66.00000000000,756.00000000000
1176,68,santander,2,oriental,GAZ,U,7.13824281420,-73.12942643270,252.00000000000,940.00000000000
925,23,cordoba,1,atlantica,GAZ,U,7.67937783739,-75.78838729600,940.00000000000,253.00000000000
962,23,cordoba,1,atlantica,GAZ,R,8.88719445793,-75.78498396890,697.00000000000,10.00000000000
1308,68,santander,2,oriental,GAZ,R,6.22827466604,-73.74174760800,73.00000000000,756.00000000000
1173,68,santander,2,oriental,GAZ,U,7.13326105791,-73.13496385410,262.00000000000,940.00000000000
1175,68,santander,2,oriental,GAZ,U,7.13145542029,-73.13411314570,274.00000000000,940.00000000000
2389,66,risaralda,3,central,GPS,U,4.81909998973,-75.73213722070,665.00000000000,1326.00000000000
965,23,cordoba,1,atlantica,GAZ,R,7.79953821826,-76.18459171310,995.00000000000,342.00000000000
987,23,cordoba,1,atlantica,GAZ,R,9.13578626150,-75.53778804630,727.00000000000,88.00000000000
963,23,cordoba,1,atlantica,GAZ,R,7.78393072717,-76.20336532450,980.00000000000,342.00000000000
1178,68,santander,2,oriental,GAZ,U,7.12780764456,-73.14786907580,305.00000000000,940.00000000000
1174,68,santander,2,oriental,GAZ,U,7.14308392099,-73.11800838730,310.00000000000,940.00000000000
919,23,cordoba,1,atlantica,GAZ,U,7.81492358440,-76.16988926080,971.00000000000,342.00000000000
920,23,cordoba,1,atlantica,GAZ,U,7.79751897070,-76.18338429910,970.00000000000,342.00000000000
2215,17,caldas,3,central,GPS,U,5.47733500000,-74.69238100000,794.00000000000,176.00000000000
918,23,cordoba,1,atlantica,GAZ,U,7.80484098143,-76.19445518250,950.00000000000,342.00000000000
2687,63,quindio,3,central,GAZ,R,4.56803322904,-75.54113972760,1774.00000000000,2372.00000000000
990,23,cordoba,1,atlantica,GAZ,R,9.33415506137,-75.93476268980,590.00000000000,4.00000000000
1321,68,santander,2,oriental,GAZ,R,7.16866984836,-73.31766824740,14.00000000000,599.00000000000
1322,68,santander,2,oriental,GAZ,R,7.20685800434,-73.29796280520,15.00000000000,599.00000000000
738,13,bolivar,1,atlantica,GAZ,R,7.69025661427,-74.29256230670,196.00000000000,778.00000000000
986,23,cordoba,1,atlantica,GAZ,R,9.12544068793,-75.51648979400,669.00000000000,88.00000000000
740,13,bolivar,1,atlantica,GAZ,R,7.71484518747,-74.27122085520,206.00000000000,778.00000000000
702,13,bolivar,1,atlantica,GAZ,U,7.70676031878,-74.26917600090,207.00000000000,778.00000000000
964,23,cordoba,1,atlantica,GAZ,R,7.79340500952,-76.17734838790,911.00000000000,342.00000000000
703,13,bolivar,1,atlantica,GAZ,U,7.70218962661,-74.26248013510,211.00000000000,778.00000000000
2688,63,quindio,3,central,GAZ,R,4.61276225247,-75.50825676490,1806.00000000000,2372.00000000000
701,13,bolivar,1,atlantica,GAZ,U,7.70087122065,-74.26362594780,215.00000000000,778.00000000000
917,23,cordoba,1,atlantica,GAZ,U,7.79824258467,-76.18283392760,900.00000000000,342.00000000000
1330,68,santander,2,oriental,GPS,R,6.54397133141,-72.76771090850,1033.00000000000,1590.00000000000
700,13,bolivar,1,atlantica,GAZ,U,7.69577411994,-74.27834767790,224.00000000000,778.00000000000
262,47,magdalena,1,atlantica,GPS,U,11.12293782530,-74.19712164240,22.00000000000,575.00000000000
739,13,bolivar,1,atlantica,GAZ,R,7.70086633899,-74.26045594570,225.00000000000,778.00000000000
989,23,cordoba,1,atlantica,GAZ,R,9.12631736466,-75.54597745770,631.00000000000,88.00000000000
1602,25,cundinamarca,2,oriental,GPS,R,4.38873504376,-74.40968641330,2016.00000000000,1475.00000000000
993,23,cordoba,1,atlantica,GAZ,R,9.33038411717,-75.94439023800,540.00000000000,4.00000000000
1282,68,santander,2,oriental,GAZ,U,7.19381026337,-73.31708061820,74.00000000000,599.00000000000
3933,85,casanare,6,territorios nacionales,GPS,U,5.01589887069,-72.75769703750,977.00000000000,461.00000000000
988,23,cordoba,1,atlantica,GAZ,R,9.14031152446,-75.51403039890,603.00000000000,88.00000000000
1963,5,antioquia,3,central,GPS,U,6.34407790594,-75.55715502610,1996.00000000000,1484.00000000000
2810,73,tolima,3,central,GPS,R,3.34310314571,-75.56181540400,1638.00000000000,1137.00000000000
2456,66,risaralda,3,central,GAZ,U,5.19014192565,-75.91767613180,1480.00000000000,1975.00000000000
2131,17,caldas,3,central,MIS,U,0.00000000000,0.00000000000,9999.00000000000,9999.00000000000
